quantidade,data_do_pedido,status,tipo_do_produto,comprador,pais_do_comprador,valor_do_pedido
24,02/07/2020,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,144
29,02/07/2020,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,174
27,02/07/2020,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,162
47,02/07/2020,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,282
20,02/07/2020,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,120
48,02/07/2020,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,288
23,02/07/2020,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,138
42,02/07/2020,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,252
31,02/07/2020,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,186
45,02/07/2020,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,270
48,02/07/2020,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,288
42,02/07/2020,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,252
24,08/08/2020,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,144
46,08/08/2020,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,276
33,08/08/2020,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,198
33,08/08/2020,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,198
20,12/11/2020,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,120
33,12/11/2020,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,198
44,12/11/2020,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,264
36,12/11/2020,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,216
47,12/11/2020,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,282
49,12/11/2020,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,294
50,11/03/2021,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,300
22,11/03/2021,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,132
50,11/03/2021,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,300
33,11/03/2021,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,198
20,20/07/2021,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,120
45,20/07/2021,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,270
38,20/07/2021,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,228
50,20/07/2021,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,300
22,20/07/2021,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,132
31,20/08/2021,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,186
41,20/08/2021,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,246
39,20/08/2021,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,234
23,20/08/2021,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,138
29,20/08/2021,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,174
27,20/08/2021,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,162
24,20/08/2021,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,144
48,21/10/2021,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,288
33,19/11/2021,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,198
43,10/12/2021,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,258
32,10/12/2021,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,192
31,19/01/2022,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,186
46,19/01/2022,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,276
40,19/01/2022,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,240
20,19/01/2022,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,120
32,23/01/2022,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,192
34,23/01/2022,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,204
25,23/01/2022,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,150
25,23/01/2022,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,150
28,23/01/2022,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,168
45,23/01/2022,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,270
37,17/02/2022,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,222
34,17/02/2022,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,204
34,17/02/2022,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,204
34,17/02/2022,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,204
25,17/02/2022,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,150
49,04/03/2022,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,294
34,04/03/2022,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,204
40,04/03/2022,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,240
46,04/03/2022,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,276
37,04/03/2022,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,222
45,04/03/2022,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,270
36,04/03/2022,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,216
50,04/03/2022,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,300
30,04/03/2022,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,180
33,23/03/2022,Concluída,Carros Clássicos,Mini Gifts Distributors Ltd.,EUA,198
23,26/03/2020,Concluída,Ônibus e Caminhões,Mini Gifts Distributors Ltd.,EUA,230
21,26/03/2020,Concluída,Ônibus e Caminhões,Mini Gifts Distributors Ltd.,EUA,210
49,26/03/2020,Concluída,Ônibus e Caminhões,Mini Gifts Distributors Ltd.,EUA,490
50,26/03/2020,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,400
44,02/07/2020,Concluída,Motocicletas,Mini Gifts Distributors Ltd.,EUA,176
29,02/07/2020,Concluída,Motocicletas,Mini Gifts Distributors Ltd.,EUA,116
33,02/07/2020,Concluída,Motocicletas,Mini Gifts Distributors Ltd.,EUA,132
30,02/07/2020,Concluída,Motocicletas,Mini Gifts Distributors Ltd.,EUA,120
45,02/07/2020,Concluída,Motocicletas,Mini Gifts Distributors Ltd.,EUA,180
33,08/08/2020,Concluída,Barcos,Mini Gifts Distributors Ltd.,EUA,396
43,08/08/2020,Concluída,Barcos,Mini Gifts Distributors Ltd.,EUA,516
21,08/08/2020,Concluída,Barcos,Mini Gifts Distributors Ltd.,EUA,252
47,08/08/2020,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,376
24,08/08/2020,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,192
41,08/08/2020,Concluída,Barcos,Mini Gifts Distributors Ltd.,EUA,492
39,08/08/2020,Concluída,Barcos,Mini Gifts Distributors Ltd.,EUA,468
38,08/08/2020,Concluída,Barcos,Mini Gifts Distributors Ltd.,EUA,456
42,08/08/2020,Concluída,Trens,Mini Gifts Distributors Ltd.,EUA,588
49,08/08/2020,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,392
42,08/08/2020,Concluída,Trens,Mini Gifts Distributors Ltd.,EUA,588
22,08/08/2020,Concluída,Trens,Mini Gifts Distributors Ltd.,EUA,308
25,12/11/2020,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,200
31,12/11/2020,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,248
32,12/11/2020,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,256
39,12/11/2020,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,312
20,12/11/2020,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,160
36,12/11/2020,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,288
44,12/11/2020,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,352
38,12/11/2020,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,304
33,12/11/2020,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,264
21,12/11/2020,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,168
23,12/11/2020,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,184
30,11/03/2021,Concluída,Ônibus e Caminhões,Mini Gifts Distributors Ltd.,EUA,300
23,11/03/2021,Concluída,Ônibus e Caminhões,Mini Gifts Distributors Ltd.,EUA,230
39,11/03/2021,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,312
36,11/03/2021,Concluída,Ônibus e Caminhões,Mini Gifts Distributors Ltd.,EUA,360
41,11/03/2021,Concluída,Ônibus e Caminhões,Mini Gifts Distributors Ltd.,EUA,410
28,11/03/2021,Concluída,Ônibus e Caminhões,Mini Gifts Distributors Ltd.,EUA,280
25,11/03/2021,Concluída,Ônibus e Caminhões,Mini Gifts Distributors Ltd.,EUA,250
26,11/03/2021,Concluída,Ônibus e Caminhões,Mini Gifts Distributors Ltd.,EUA,260
25,11/03/2021,Concluída,Ônibus e Caminhões,Mini Gifts Distributors Ltd.,EUA,250
48,11/03/2021,Concluída,Ônibus e Caminhões,Mini Gifts Distributors Ltd.,EUA,480
31,20/07/2021,Concluída,Ônibus e Caminhões,Mini Gifts Distributors Ltd.,EUA,310
35,20/07/2021,Concluída,Ônibus e Caminhões,Mini Gifts Distributors Ltd.,EUA,350
34,20/07/2021,Concluída,Ônibus e Caminhões,Mini Gifts Distributors Ltd.,EUA,340
25,20/07/2021,Concluída,Ônibus e Caminhões,Mini Gifts Distributors Ltd.,EUA,250
50,20/07/2021,Concluída,Ônibus e Caminhões,Mini Gifts Distributors Ltd.,EUA,500
43,20/07/2021,Concluída,Ônibus e Caminhões,Mini Gifts Distributors Ltd.,EUA,430
43,20/08/2021,Concluída,Barcos,Mini Gifts Distributors Ltd.,EUA,516
38,20/08/2021,Concluída,Ônibus e Caminhões,Mini Gifts Distributors Ltd.,EUA,380
36,20/08/2021,Concluída,Trens,Mini Gifts Distributors Ltd.,EUA,504
43,20/08/2021,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,344
36,20/08/2021,Concluída,Trens,Mini Gifts Distributors Ltd.,EUA,504
37,20/08/2021,Concluída,Trens,Mini Gifts Distributors Ltd.,EUA,518
32,21/10/2021,Concluída,Ônibus e Caminhões,Mini Gifts Distributors Ltd.,EUA,320
35,21/10/2021,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,280
48,21/10/2021,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,384
37,21/10/2021,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,296
25,21/10/2021,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,200
43,21/10/2021,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,344
39,21/10/2021,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,312
38,21/10/2021,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,304
25,21/10/2021,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,200
23,21/10/2021,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,184
33,21/10/2021,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,264
31,21/10/2021,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,248
31,21/10/2021,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,248
39,21/10/2021,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,312
44,21/10/2021,Concluída,Carros Vintage,Mini Gifts Distributors Ltd.,EUA,352
